Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
COTE D´IVOIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;731.2
CROATIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2357;2497;1873;2880;2680;2927;2763;2578;1615;1923;2058;2255;493;639;1351
CUBA;72;72;83;94;97;139;121;111;113;124;162;199;194;202;206;251;253;213;286;355;580;385;459;552;650;271;244;732
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;360;365;422;484;540;588;684;744;737;859;914;932;1081;1210;1172;1246;1209;1194;1115;1209;1119;1268;1407;1446;1578;482;514;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;7213;6643;6963;6393;9048;9665;8904;8673;5279;5419;5781;5651;5856;6027;6775;7390;7346;2399;1161;5254
DENMARK;NULL;5035;4693;4788;4744;5011;4946;4935;5564;4630;5469;6129;6564;6347;7037;7726;7846;7843;6977;8528;8991;9651;8087;7475;9088;4230;3182;6043
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICAN REPUBLIC;168;358;355;354;363;360;331;332;321;368;419;420;443;413;415;401;408;418;392;427;478;500;522;514;532;210;556;780
ECUADOR;271;275;321;330;386;520;562;627;613;603;664;733;801;815;814;899;1022;1022;1138;1096;1221;1366;1347;1402;1515;508;868;1338
EGYPT;2683;2812;2722;2854;2886;2964;3074;3330;3644;5210;5307;4531;NULL;NULL;4716;4618;4863;5678;5782;6180;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
EL SALVADOR;348;492;627;868;787;923;933;1001;940;1079;1239;1242;1012;NULL;1345;999;1160;1163;1166;1163;1250;1411;1394;1260;1331;384;801;1270
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
