Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ERITREA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESTONIA;530;665;730;825;950;1220;1320;1362;1462;1750;1917;1940;1900;2222;2180;2511;2823;2957;3111;3160;2961;3131;3244;3226;3336;1023;808
ESWATINI;300;315;269;284;289;281;283;256;461;459;837;873;869;756;908;868;879;888;968;939;873;947;921;782;680;193.7;170.3
ETHIOPIA;103;109;139;112;115;136;148;156;180;184;227;330;358;383;427;468;523;597;681;770;864;871;933;849;812;271;518
FIJI;318;340;359;371;410;294;348;398;431;504;545;549;540;585;542;632;675;661;659;693;755;792;843;870;894;146.9;32
FINLAND;1779;1724;1832;2644;2454;2714;2826;2875;2601;2840;3140;3375;3519;3583;3423;3670;4192;4226;2797;2731;2622;2789;3180;3224;3290;896;807
FRANCE;60033;62406;66591;70109;73147;77190;75202;77012;75048;74433;74988;77916;80853;79218;76764;76647;80499;81980;83634;83701;84452;82682;86758;89322;90914;41684;48395
FRENCH GUIANA;NULL;NULL;NULL;68;70;NULL;65;65;NULL;NULL;95;NULL;109;NULL;83;NULL;NULL;NULL;NULL;NULL;87;96;111;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;172;164;180;189;211;252;228;189;213;212;208;222;218;196;160;154;163;169;164;181;184;192;199;216.3;237;77;83
GABON;125;145;167;195;178;155;169;208;222;244;269;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;45;77;85;91;96;79;57;81;89;90;108;125;143;147;142;91;106;157;171;156;449;450;522;552;620;246;332
GEORGIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1067;1833;2460;2884;2939;3012;3297;4069.4;4757;5080.4;1087;1577
GERMANY;14847;15205;15837;16511;17116;18983;17861;17969;18399;20137;21500;23569;24421;24884;24220;26875;28374;30411;31545;32999;34970;35555;37452;38881;39563;12449;11688
